driverStandingsId,Driver_code,Driver_code,Driver_name,GP_year,Round,GrandPrix_name,points,position,wins,GP_Id
77,14,ALO,Fernando Alonso,2001,4,Emilia Romagna Grand Prix,0,20,0,144
78,14,ALO,Fernando Alonso,2001,5,Spanish Grand Prix,0,21,0,145
79,14,ALO,Fernando Alonso,2001,6,Austrian Grand Prix,0,21,0,146
80,14,ALO,Fernando Alonso,2001,7,Monaco Grand Prix,0,21,0,147
81,14,ALO,Fernando Alonso,2001,8,Canadian Grand Prix,0,23,0,148
82,14,ALO,Fernando Alonso,2001,11,British Grand Prix,0,23,0,151
83,14,ALO,Fernando Alonso,2001,13,Hungarian Grand Prix,0,23,0,153
84,14,ALO,Fernando Alonso,2001,14,Belgian Grand Prix,0,23,0,154
85,14,ALO,Fernando Alonso,2001,15,Italian Grand Prix,0,23,0,155
86,14,ALO,Fernando Alonso,2001,17,Japanese Grand Prix,0,23,0,157
87,14,ALO,Fernando Alonso,2005,4,Emilia Romagna Grand Prix,36,1,3,74
88,33,VER,Max Verstappen,2017,1,Australian Grand Prix,10,5,0,969
89,77,BOT,Valtteri Bottas,2017,1,Australian Grand Prix,15,3,0,969
90,44,HAM,Lewis Hamilton,2017,1,Australian Grand Prix,18,2,0,969
91,14,ALO,Fernando Alonso,2009,1,Australian Grand Prix,4,5,0,1
92,14,ALO,Fernando Alonso,2007,1,Australian Grand Prix,8,2,0,36
93,44,HAM,Lewis Hamilton,2007,1,Australian Grand Prix,6,3,0,36
94,14,ALO,Fernando Alonso,2007,4,Spanish Grand Prix,28,2,1,39
95,44,HAM,Lewis Hamilton,2007,4,Spanish Grand Prix,30,1,0,39
96,14,ALO,Fernando Alonso,2007,5,Monaco Grand Prix,38,1,2,40
97,44,HAM,Lewis Hamilton,2007,5,Monaco Grand Prix,38,2,0,40
98,44,HAM,Lewis Hamilton,2007,6,Canadian Grand Prix,48,1,1,41
99,44,HAM,Lewis Hamilton,2007,9,British Grand Prix,70,1,2,44
100,44,HAM,Lewis Hamilton,2007,11,Hungarian Grand Prix,80,1,3,46
101,44,HAM,Lewis Hamilton,2007,13,Italian Grand Prix,92,1,3,48
102,44,HAM,Lewis Hamilton,2007,14,Belgian Grand Prix,97,1,3,49
103,44,HAM,Lewis Hamilton,2007,17,São Paulo Grand Prix,109,2,4,52
104,44,HAM,Lewis Hamilton,2009,4,Bahrain Grand Prix,9,7,0,4
105,14,ALO,Fernando Alonso,2009,4,Bahrain Grand Prix,5,8,0,4
106,14,ALO,Fernando Alonso,2009,5,Spanish Grand Prix,9,8,0,5
107,44,HAM,Lewis Hamilton,2009,5,Spanish Grand Prix,9,7,0,5
108,44,HAM,Lewis Hamilton,2009,6,Monaco Grand Prix,9,9,0,6
109,14,ALO,Fernando Alonso,2009,6,Monaco Grand Prix,11,7,0,6
110,44,HAM,Lewis Hamilton,2009,8,British Grand Prix,9,11,0,8
111,14,ALO,Fernando Alonso,2009,8,British Grand Prix,11,9,0,8
112,14,ALO,Fernando Alonso,2009,10,Hungarian Grand Prix,13,11,0,10
113,44,HAM,Lewis Hamilton,2009,10,Hungarian Grand Prix,19,8,1,10
114,14,ALO,Fernando Alonso,2009,12,Belgian Grand Prix,16,12,0,12
115,44,HAM,Lewis Hamilton,2009,12,Belgian Grand Prix,27,7,1,12
116,14,ALO,Fernando Alonso,2009,13,Italian Grand Prix,20,11,0,13
117,44,HAM,Lewis Hamilton,2009,13,Italian Grand Prix,27,7,1,13
118,14,ALO,Fernando Alonso,2009,14,Singapore Grand Prix,26,8,0,14
119,44,HAM,Lewis Hamilton,2009,14,Singapore Grand Prix,37,6,2,14
120,44,HAM,Lewis Hamilton,2009,15,Japanese Grand Prix,43,6,2,15
121,14,ALO,Fernando Alonso,2009,15,Japanese Grand Prix,26,9,0,15
122,14,ALO,Fernando Alonso,2009,16,São Paulo Grand Prix,26,9,0,16
123,44,HAM,Lewis Hamilton,2009,16,São Paulo Grand Prix,49,5,2,16
124,14,ALO,Fernando Alonso,2009,17,Abu Dhabi Grand Prix,26,9,0,17
125,44,HAM,Lewis Hamilton,2009,17,Abu Dhabi Grand Prix,49,5,2,17
126,14,ALO,Fernando Alonso,2010,1,Bahrain Grand Prix,25,1,1,337
127,44,HAM,Lewis Hamilton,2010,1,Bahrain Grand Prix,15,3,0,337
128,27,HUL,Nico Hülkenberg,2010,1,Bahrain Grand Prix,0,14,0,337
129,14,ALO,Fernando Alonso,2010,2,Australian Grand Prix,37,1,1,338
130,44,HAM,Lewis Hamilton,2010,2,Australian Grand Prix,23,4,0,338
131,27,HUL,Nico Hülkenberg,2010,2,Australian Grand Prix,0,17,0,338
132,14,ALO,Fernando Alonso,2010,5,Spanish Grand Prix,67,2,1,341
133,44,HAM,Lewis Hamilton,2010,5,Spanish Grand Prix,49,6,0,341
134,27,HUL,Nico Hülkenberg,2010,5,Spanish Grand Prix,1,15,0,341
