,GrandPrix_name,Driver_name,avg_pit_stop_time_ms,avg_pit_stop_count,total_pit_stop_time_ms
314,United States Grand Prix,Fernando Alonso,25740.2,1.6,41184.32000000001
315,United States Grand Prix,George Russell,25642.285714285714,1.7142857142857142,43958.20408163265
316,United States Grand Prix,Kevin Magnussen,25135.545454545456,1.5454545454545454,38845.842975206615
317,United States Grand Prix,Lance Stroll,25586.1,1.6,40937.76
318,United States Grand Prix,Lando Norris,24685.833333333332,1.5,37028.75
319,United States Grand Prix,Lewis Hamilton,23784.6875,1.375,32703.9453125
320,United States Grand Prix,Max Verstappen,25560.384615384617,1.4615384615384615,37357.485207100595
321,United States Grand Prix,Nico Hülkenberg,25858.75,1.25,32323.4375
322,United States Grand Prix,Sergio Pérez,24305.69230769231,1.3076923076923077,31784.36686390533
323,United States Grand Prix,Valtteri Bottas,25591.8,1.4,35828.52
324,United States Grand Prix,Yuki Tsunoda,23565.0,1.5,35347.5
