constructorStandingsId,Constructor_name,GP_year,Round,GrandPrix_name,points,position,wins,GP_Id
100,Ferrari,1973,10,Dutch Grand Prix,12,5,0,614
101,McLaren,1973,10,Dutch Grand Prix,38,3,2,614
102,Ferrari,1973,12,Austrian Grand Prix,12,5,0,616
103,McLaren,1973,12,Austrian Grand Prix,42,3,2,616
104,Ferrari,1973,13,Italian Grand Prix,12,5,0,617
105,McLaren,1973,13,Italian Grand Prix,46,3,2,617
106,McLaren,1973,9,British Grand Prix,35,3,2,613
107,Ferrari,1973,9,British Grand Prix,12,5,0,613
108,McLaren,1974,2,São Paulo Grand Prix,18,1,2,591
109,Ferrari,1974,2,São Paulo Grand Prix,12,2,0,591
110,McLaren,1974,6,Monaco Grand Prix,37,1,3,595
111,Ferrari,1974,6,Monaco Grand Prix,30,2,1,595
112,McLaren,1974,8,Dutch Grand Prix,42,1,3,597
113,Ferrari,1974,8,Dutch Grand Prix,39,2,2,597
114,McLaren,1974,12,Austrian Grand Prix,55,2,3,601
115,Ferrari,1974,12,Austrian Grand Prix,59,1,3,601
116,McLaren,1974,13,Italian Grand Prix,61,1,3,602
117,Ferrari,1974,13,Italian Grand Prix,59,2,3,602
118,Williams,1975,2,São Paulo Grand Prix,0,12,0,577
119,McLaren,1975,2,São Paulo Grand Prix,15,1,1,577
120,Ferrari,1975,2,São Paulo Grand Prix,6,4,0,577
121,Williams,1975,5,Monaco Grand Prix,0,10,0,580
122,McLaren,1975,5,Monaco Grand Prix,26.5,1,2,580
123,Ferrari,1975,5,Monaco Grand Prix,17,3,1,580
124,Williams,1975,8,Dutch Grand Prix,0,12,0,583
125,McLaren,1975,8,Dutch Grand Prix,26.5,3,2,583
126,Williams,1975,10,British Grand Prix,0,12,0,585
127,McLaren,1975,10,British Grand Prix,39.5,3,3,585
128,Williams,1975,12,Austrian Grand Prix,6,9,0,587
129,McLaren,1975,12,Austrian Grand Prix,41,3,3,587
130,Ferrari,1975,12,Austrian Grand Prix,54.5,1,4,587
131,Williams,1975,13,Italian Grand Prix,6,9,0,588
132,McLaren,1975,13,Italian Grand Prix,47,3,3,588
133,Ferrari,1975,13,Italian Grand Prix,63.5,1,5,588
134,Ferrari,1975,8,Dutch Grand Prix,41,1,3,583
135,Ferrari,1975,10,British Grand Prix,50,1,4,585
136,Williams,1976,1,São Paulo Grand Prix,0,7,0,560
137,McLaren,1976,1,São Paulo Grand Prix,1,5,0,560
138,Ferrari,1976,1,São Paulo Grand Prix,9,1,1,560
139,Ferrari,1976,6,Monaco Grand Prix,51,1,5,565
140,McLaren,1976,6,Monaco Grand Prix,21,3,1,565
141,Williams,1976,6,Monaco Grand Prix,0,16,0,565
142,Ferrari,1976,11,Austrian Grand Prix,64,1,6,570
143,McLaren,1976,11,Austrian Grand Prix,43,3,3,570
144,Williams,1976,11,Austrian Grand Prix,0,17,0,570
145,Ferrari,1976,12,Dutch Grand Prix,70,1,6,571
146,McLaren,1976,12,Dutch Grand Prix,52,2,4,571
147,Williams,1976,12,Dutch Grand Prix,0,17,0,571
148,Ferrari,1976,13,Italian Grand Prix,76,1,6,572
149,McLaren,1976,13,Italian Grand Prix,52,3,4,572
150,Williams,1976,13,Italian Grand Prix,0,17,0,572
151,McLaren,1977,2,São Paulo Grand Prix,6,4,0,544
152,Ferrari,1977,2,São Paulo Grand Prix,13,1,1,544
153,McLaren,1977,6,Monaco Grand Prix,15,4,0,548
154,Ferrari,1977,6,Monaco Grand Prix,40,1,2,548
155,McLaren,1977,10,British Grand Prix,34,3,1,552
156,Ferrari,1977,10,British Grand Prix,56,1,2,552
157,McLaren,1977,12,Austrian Grand Prix,35,4,1,554
158,Ferrari,1977,12,Austrian Grand Prix,71,1,3,554
